100421695700012077171460      DISK MED PADUA DISTRIBUIDORA DE MEDSanto Antonio de Padua        RJ22385490042011100120111031331
11RODOVIA PIRAPETINGA A PADUA       SN   KM 01                 SANTA LUZIA    28470000ADILSON                     002238549004
501191445000010679046965      20111004RJ011  2114215403P000000004694000000000469400000000000000000000000000000000000000000000N
5009029238000114ISENTO        20111004ES011  2114226108P000000004407000000000440700000000003247000000000000000000000000000700N
5011120153000199ISENTO        20111004RJ011  2114235403P000000000000000000000000000000000000000000000000000000000000000000000S
502785141900010381151962      20111004RJ011  2114245403P000000010414000000001041400000000000000000000000000000000000000000000N
502785141900010381151962      20111004RJ011  2114245102P000000000192000000000019200000000000365000000000000000000000000001900N
500516468100014777454713      20111004RJ011  2114255403P000000004537200000000453720000000000000000000000000000000000000000000N
500516468100014777454713      20111004RJ011  2114255102P000000000119700000000011970000000000239000000000000000000000000001900N
5036285484000100ISENTO        20111004RJ011  2114265403P000000553905000000055390500000000000000000000000000000000000000000000N
503968560700019885373072      20111004RJ011  2114275403P000000003269800000000326980000000000000000000000000000000000000000000N
500926927700019978429780      20111004RJ011  2114285403P000000002600000000000260000000000000000000000000000000000000000000000N
5011120153000199ISENTO        20111004RJ011  2114295403P000000000817600000000081760000000000000000000000000000000000000000000N
500071065800019785342169      20111004RJ011  2114305403P000000001230400000000123040000000000000000000000000000000000000000000N
5029138377000193ISENTO        20111004RJ011  2114315403P000000002392700000000239270000000000000000000000000000000000000000000N
5010772651000153ISENTO        20111004MG011  2114326108P000000004032700000000403270000000004839000000000000000000000000001200N
503941695300017084469629      20111004RJ011  2114335403P000000003234500000000323450000000000000000000000000000000000000000000N
500849091200010978249153      20111004RJ011  2114345403P000000007677100000000767710000000000000000000000000000000000000000000N
500849091200010978249153      20111004RJ011  2114345102P000000000502000000000050200000000001004000000000000000000000000001900N
500849091200010978249153      20111004RJ011  2114355403P000000000414200000000041420000000000000000000000000000000000000000000N
5039309190000169081621736     20111004ES011  2114366108P000000000000000000000000000000000000000000000000000000000000000000000S
5039309190000169081621736     20111004ES011  2114366403P000000000000000000000000000000000000000000000000000000000000000000000S
5039309190000169081621736     20111004ES011  2114376108P000000000101400000000010140000000000071000000000000000000000000000700N
5039309190000169081621736     20111004ES011  2114376403P000000002615100000000261510000000001815000000000000000000000000000700N
50081445000001090010115290044 20111004MG011  2114386108P000000000219600000000021960000000000264000000000000000000000000001200N
50081445000001090010115290044 20111004MG011  2114386403P000000004906400000000490640000000005888000000000000000000000000001200N
50428885780001765218015420027 20111004MG011  2114396403P000000004718000000000471800000000006291000000000000000000000000001200N
503150241200015384056405      20111004RJ011  2114405403P000000005784900000000578490000000000000000000000000000000000000000000N
500563549300015077542183      20111004RJ011  2114415403P000000001828500000000182850000000000000000000000000000000000000000000N
500563549300015077542183      20111004RJ011  2114415102P000000000101900000000010190000000000194000000000000000000000000001900N
50076309890001660153872700055 20111004MG011  2114426108P000000000194700000000019470000000000000000000000000000000000000000000N
50076309890001660153872700055 20111004MG011  2114426108P000000000206700000000020670000000000248000000000000000000000000001200N
50076309890001660153872700055 20111004MG011  2114426403P000000004204100000000420410000000005045000000000000000000000000001200N
50176515060001630153985300095 20111004MG011  2114436108P000000001499900000000149990000000000000000000000000000000000000000000N
50176515060001630153985300095 20111004MG011  2114436108P000000000972800000000097280000000001229000000000000000000000000001200N
50176515060001630153985300095 20111004MG011  2114436403P000000001896000000000189600000000002395000000000000000000000000001200N
5018338178000102ISENTO        20111004MG011  2114446108P000000003730400000000373040000000004476000000000000000000000000001200N
503629126800017784256269      20111004RJ011  2114455403P000000001577600000000157760000000000000000000000000000000000000000000N
50073761770001362903491760079 20111004MG011  2114466108P000000000252000000000025200000000000302000000000000000000000000001200N
50073761770001362903491760079 20111004MG011  2114466403P000000003795000000000379500000000004554000000000000000000000000001200N
5010470889000124082582980     20111004ES011  2114476403P000000003988300000000398830000000002792000000000000000000000000000700N
502960729800018481079072      20111004RJ011  2114485403P000000006706100000000670610000000000000000000000000000000000000000000N
502960729800018481079072      20111004RJ011  2114485102P000000000042000000000004200000000000080000000000000000000000000001900N
5030098479000101ISENTO        20111004RJ011  2114495403P000000010875000000001087500000000000000000000000000000000000000000000N
5011504310000160ISENTO        20111004RJ011  2114505403P000000001318400000000131840000000000000000000000000000000000000000000N
